Date,Tweet,City,Country,random #
Wed Mar 28 18:31:19 +0000 2018,  CDC warns of 2nd wave of flu hitting US ,none,none,0.132387652
Wed Apr 25 20:51:23 +0000 2018, *bird flu it’s called,none,GB,0.544768339
Tue Apr 17 16:43:31 +0000 2018,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…,none,none,0.704596396
Mon Apr 02 19:18:48 +0000 2018," We're sorry to hear you experienced an issue opening up our Cold &amp; Flu Plus package! If you are still experiencing an issue, we recommend taking it back to the store so a staff member can provide assistance. In the meantime, we will pass this feedback along. Thank you.",none,none,0.849990649
Thu Apr 26 18:42:11 +0000 2018,  Can #Nutrition Help Prevent Common #Cold &amp; #Flu #Viruses? heck our my latest contribution for  Some nice #…,none,none,0.461059212
Tue Mar 27 18:52:01 +0000 2018,  Don’t let cold &amp; flu control your day. It’s time to mix it up with the soothing vapors and tea-infused flavors of Theraflu® P…,none,none,0.987896475
Wed Apr 25 20:27:01 +0000 2018,  The reason that the White House flu shots administered by #DrRonnyJackson weren't all that success at preventing illness this…,none,none,0.60105316
Tue Apr 03 18:22:56 +0000 2018,  LISTEN. The #Celtics and #Bucks will clash tonight in a potential playoff preview. Terry Rozier's dealing with an ankle i…,none,none,0.07171711
Wed Mar 28 18:41:25 +0000 2018,Higher prices help foie gras farmers overcome bird flu crises ,none,none,0.388343434
Tue Apr 03 18:54:10 +0000 2018,  Jimmy Howard will start in net for Red Wings tonight v. #CBJ. Jared Coreau has been scheduled to start but he has the flu.…,none,none,0.59296663
Tue May 01 17:35:23 +0000 2018,  More Asthma Triggers to avoid include:  Common cold and flu Non steroidal anti inflammatory painkillers like aspirin an…,none,none,0.11080556
Thu Apr 26 18:18:11 +0000 2018,Is there an app that makes these man orrrrr?? ,none,none,0.911302852
Mon Apr 23 18:40:21 +0000 2018,Ya girl gots da flu. Type B.,none,none,0.860845857
Thu Apr 05 18:31:09 +0000 2018,"  This is the same brotha that said the “flu vaccine” and was actually giving people and the flu and killing them, he mysterio…",none,none,0.186563955
Mon Apr 16 18:56:11 +0000 2018,This Flu trynna put me in a body bag,none,none,0.771925795
Thu Apr 05 18:23:18 +0000 2018,I’ve Never had the flu but I’ve never got a flu shot,none,none,0.077230009
Tue Apr 03 19:04:46 +0000 2018,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…",none,none,0.204190138
Wed Mar 28 18:41:17 +0000 2018,Higher prices help foie gras farmers overcome bird flu crises ,none,none,0.966785591
Thu Apr 05 19:05:21 +0000 2018,  Download Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!…,none,none,0.260218794
Wed May 02 18:37:59 +0000 2018,Check out the library's online exhibit on the subject “Going Viral: Impact and Implications of the 1918 Flu Pandemic”:  ,none,none,0.558386558
Thu Apr 05 18:41:41 +0000 2018,Caught the flu bug but I squashed it with my essential oils and lots of rest. #essentialoils,none,none,0.22296483
Fri Apr 27 20:08:42 +0000 2018,"Miss those days when I could take a short of Gordon's, Stro Rum or Haakiesdraad at the first signs of flu",none,none,0.448158167
Sat Mar 31 22:12:00 +0000 2018,The flu used to be a likely death sentence in Eagle County. ,none,none,0.041188463
Mon Apr 02 19:06:18 +0000 2018,  Dying of #Flu - Another Tragic Consequence of #WorldWarOne via   #MondayBlogs ,none,none,0.52727401
Tue Apr 03 19:12:00 +0000 2018,New post: Flu &amp; Cold Wellness Tea - Immune Boosting Turmeric Tea by D.Baron -  ,none,none,0.136811214
Fri Mar 30 19:02:10 +0000 2018,  Irish flu vaccines. ,none,none,0.93851425
Thu Apr 05 18:25:11 +0000 2018, Me every time I get the flu,none,none,0.240369672
Wed Apr 25 21:09:16 +0000 2018,#WhiteSox score early..Abreu succumbs to the Flu and they lose. So no Flag today. #FlyTheArrow #SEAvsCWS ,none,none,0.131671888
Tue May 01 17:41:07 +0000 2018,  More Asthma Triggers to avoid include:  Common cold and flu Non steroidal anti inflammatory painkillers like aspirin an…,none,none,0.413408325
Thu Apr 05 18:07:17 +0000 2018,  Timothy Cunningham was murdered for telling the truth about flu shots this year. After countless people have been in the ho…,none,none,0.583441297
