Date,Tweet,City,Country
Tue Mar 27 18:08:15 +0000 2018,Am I Contagious? Cold and flu season is hanging on.... ,none,none
Tue Mar 27 18:08:19 +0000 2018,Draymond Green (flu like symptoms) downgraded to doubtful for #Warriors tonight vs. Pacers.   Omri Casspi (sprained right ankle) is out.,none,none
Tue Mar 27 18:08:22 +0000 2018,"To get flu shot or not? I am so over my cold but my students are either sniffling, hacking up a storm or more sniffling! And I'm sneezing like crazy!",none,none
Tue Mar 27 18:08:28 +0000 2018,"Second wave of flu may be on the way, CDC warns ",none,none
Tue Mar 27 18:08:35 +0000 2018,"    She had the ""I f#cked up flu"" If she was there they'd have to address her comments on David Hogg",none,none
Tue Mar 27 18:08:38 +0000 2018,  O my God Marco  has also been infected with #chicken flu and is on his deathbed now   We play with you   #N…,none,none
Tue Mar 27 18:08:50 +0000 2018,  Clearly this guy has never sat in a taxi and felt his tummy make that dios rumble ,none,none
Tue Mar 27 18:09:00 +0000 2018,"  Stormzy arrived very ill with cat flu. Left untreated, this condition can kill. Please will you give life-saving care t…",none,none
Tue Mar 27 18:09:05 +0000 2018,I think Zeedan goes crazy after Rana's flu.,none,none
Tue Mar 27 18:09:06 +0000 2018,"  This first appeared in Apache Junction, AZ years ago. ",none,none
Tue Mar 27 18:09:09 +0000 2018,Flu season isn't over yet!  Ck out this guide to managing household germs from  #generationgood ,Rakuten Performance Center,none
Tue Mar 27 18:09:11 +0000 2018,Draymond not here and that's because he still has flu-like symptoms and is now doubtful (was probable). Casspi still out. ,none,US
Tue Mar 27 18:09:15 +0000 2018,"  Second wave of flu may be on the way, CDC warns ",none,none
Tue Mar 27 18:09:35 +0000 2018, Should we be concerned about Draymond? This flu has been hanging on for a few days now.,none,none
Tue Mar 27 18:09:39 +0000 2018,  Draymond not here and that's because he still has flu-like symptoms and is now doubtful (was probable). Casspi still ou…,none,none
Tue Mar 27 18:09:50 +0000 2018,Flu cases prompt visit restriction at Wrexham hospital ,none,none
Tue Mar 27 18:10:00 +0000 2018,"When it comes to cold and flu prevention, plan to keep your indoor air healthy and humidified at all times. Improved air quality = improved health.  ",none,none
Tue Mar 27 18:10:17 +0000 2018,just had to take Tylenol cold and flu nighttime because my mother doesn’t love me enough to bring me medicine to work.,none,none
Tue Mar 27 18:10:25 +0000 2018,"  Stormzy arrived very ill with cat flu. Left untreated, this condition can kill. Please will you give life-saving care t…",none,none
Tue Mar 27 18:10:26 +0000 2018,Fuck. My. Life. ,none,none
Tue Mar 27 18:10:32 +0000 2018,CDC Warns Of New Flu Strain That's More Severe For Kids  ,none,none
Tue Mar 27 18:10:34 +0000 2018," Feel better. I remember, our daughter was still a newborn when the swine flu was going around and we all got it. Not at all fun! ",none,none
Tue Mar 27 18:10:54 +0000 2018,  Cuteness overload alert! Little ladies Sahara &amp; Savannah are looking for their first #foreverhome this #tunatuesday Plea…,none,none
Tue Mar 27 18:10:56 +0000 2018,Me: -Flu -Fiber -Tired af -No laptop -No phone,San Jose,none
Tue Mar 27 18:11:17 +0000 2018,"Ima misfit, dipshit , fish stick, six whips ... times 2 , I’m cold .. swine flu , must I remind you. ",none,US
Tue Mar 27 18:11:21 +0000 2018,emergen-c packets ended the swine flu pandemic,none,none
Tue Mar 27 18:11:27 +0000 2018,mans needs water in the  helps a lot ,none,none
Tue Mar 27 18:12:01 +0000 2018,Flu removal kit. And some  Supernatural.  if this doesn’t work then I don’t know what will. ,none,none
Tue Mar 27 18:12:09 +0000 2018,The stomach flu is a plague.,none,none
Tue Mar 27 18:12:17 +0000 2018,  This is NOT sugar. Bancroft stitched up here. Understand it is chewing gum. Aussies use spoons to serve chewie and nuts…,none,none
Tue Mar 27 18:12:25 +0000 2018, Get ready for keto flu. It SUCKS!,none,none
Tue Mar 27 18:12:25 +0000 2018,  Draymond not here and that's because he still has flu-like symptoms and is now doubtful (was probable). Casspi still ou…,none,none
Tue Mar 27 18:12:40 +0000 2018," Luca, I had this in my left nostril during flu a couple of weeks ago! It completely freaked me out as I was convinced function would not return. Eventually I managed to detect Baghari while covering my right nostril, and then it all came back.",none,none
Tue Mar 27 18:12:46 +0000 2018,My daughter  has the flu so I'm letting her lick the envelopes of all my credit card bills…,none,none
Tue Mar 27 18:12:56 +0000 2018, Now this ish right here is what I'm talking about  Not that #Ksazobalit crap that's been doing the rounds like a flu bug,none,none
